Value,Percentile,TotalCount,1/(1-Percentile)
12761.00000,0.999992,2914212,131072.00
12777.00000,0.999993,2914213,137970.53
14313.00000,0.999993,2914214,145635.56
16371.00000,0.999994,2914216,154202.35
17338.00000,0.999994,2914217,163840.00
17577.00000,0.999994,2914218,174762.67
17592.00000,0.999995,2914219,187245.71
17710.00000,0.999995,2914220,201649.23
17736.00000,0.999995,2914221,218453.33
17814.00000,0.999996,2914222,238312.73
18054.00000,0.999996,2914223,262144.00
19025.00000,0.999996,2914224,275941.05
19025.00000,0.999997,2914224,291271.11
20044.00000,0.999997,2914225,308404.71
20933.00000,0.999997,2914226,327680.00
20933.00000,0.999997,2914226,349525.33
21479.00000,0.999997,2914227,374491.43
21479.00000,0.999998,2914227,403298.46
25577.00000,0.999998,2914228,436906.67
25577.00000,0.999998,2914228,476625.45
26275.00000,0.999998,2914229,524288.00
26275.00000,0.999998,2914229,551882.11
26275.00000,0.999998,2914229,582542.22
29612.00000,0.999998,2914230,616809.41
29612.00000,0.999998,2914230,655360.00
29612.00000,0.999999,2914230,699050.67
38008.00000,0.999999,2914231,748982.86
38008.00000,0.999999,2914231,806596.92
38008.00000,0.999999,2914231,873813.33
38008.00000,0.999999,2914231,953250.91
58274.00000,0.999999,2914232,1048576.00
58274.00000,0.999999,2914232,1103764.21
58274.00000,0.999999,2914232,1165084.44
58274.00000,0.999999,2914232,1233618.82
58274.00000,0.999999,2914232,1310720.00
58274.00000,0.999999,2914232,1398101.33
65536.00000,0.999999,2914233,1497965.71
65536.00000,0.999999,2914233,1613193.85
65536.00000,0.999999,2914233,1747626.67
65536.00000,0.999999,2914233,1906501.82
65536.00000,1.000000,2914233,2097152.00
65536.00000,1.000000,2914233,2207528.42
65536.00000,1.000000,2914233,2330168.89
65536.00000,1.000000,2914233,2467237.65
65536.00000,1.000000,2914233,2621440.00
65536.00000,1.000000,2914233,2796202.67
103602.00000,1.000000,2914234,2995931.43
103602.00000,1.000000,2914234,inf
