Value,Percentile,TotalCount,1/(1-Percentile)
19.00000,0.000000,1,1.00
26.00000,0.050000,12,1.05
29.00000,0.100000,29,1.11
30.00000,0.150000,92,1.18
30.00000,0.200000,92,1.25
30.00000,0.250000,92,1.33
30.00000,0.300000,92,1.43
30.00000,0.350000,92,1.54
31.00000,0.400000,162,1.67
31.00000,0.450000,162,1.82
31.00000,0.500000,162,2.00
31.00000,0.525000,162,2.11
31.00000,0.550000,162,2.22
31.00000,0.575000,162,2.35
31.00000,0.600000,162,2.50
31.00000,0.625000,162,2.67
31.00000,0.650000,162,2.86
31.00000,0.675000,162,3.08
32.00000,0.700000,184,3.33
32.00000,0.725000,184,3.64
32.00000,0.750000,184,4.00
32.00000,0.762500,184,4.21
33.00000,0.775000,191,4.44
33.00000,0.787500,191,4.71
34.00000,0.800000,194,5.00
35.00000,0.812500,195,5.33
37.00000,0.825000,199,5.71
38.00000,0.837500,202,6.15
41.00000,0.850000,205,6.67
42.00000,0.862500,207,7.27
49.00000,0.875000,212,8.00
49.00000,0.881250,212,8.42
52.00000,0.887500,213,8.89
53.00000,0.893750,215,9.41
58.00000,0.900000,216,10.00
60.00000,0.906250,217,10.67
68.00000,0.912500,219,11.43
75.00000,0.918750,220,12.31
87.00000,0.925000,222,13.33
98.00000,0.931250,223,14.55
134.00000,0.937500,225,16.00
134.00000,0.940625,225,16.84
137.00000,0.943750,226,17.78
138.00000,0.946875,227,18.82
184.00000,0.950000,228,20.00
184.00000,0.953125,228,21.33
221.00000,0.956250,229,22.86
251.00000,0.959375,230,24.62
324.00000,0.962500,231,26.67
324.00000,0.965625,231,29.09
355.00000,0.968750,232,32.00
355.00000,0.970313,232,33.68
823.00000,0.971875,233,35.56
823.00000,0.973437,233,37.65
995.00000,0.975000,234,40.00
995.00000,0.976562,234,42.67
995.00000,0.978125,234,45.71
1056.00000,0.979688,235,49.23
1056.00000,0.981250,235,53.33
1056.00000,0.982812,235,58.18
1373.00000,0.984375,236,64.00
1373.00000,0.985156,236,67.37
1373.00000,0.985938,236,71.11
1373.00000,0.986719,236,75.29
1596.00000,0.987500,237,80.00
1596.00000,0.988281,237,85.33
1596.00000,0.989062,237,91.43
1596.00000,0.989844,237,98.46
1596.00000,0.990625,237,106.67
1596.00000,0.991406,237,116.36
2056.00000,0.992188,238,128.00
2056.00000,1.000000,238,inf
