Value,Percentile,TotalCount,1/(1-Percentile)
6819.00000,0.999990,4445555,100824.62
7188.00000,0.999991,4445559,109226.67
7416.00000,0.999992,4445562,119156.36
8026.00000,0.999992,4445566,131072.00
8453.00000,0.999993,4445567,137970.53
10667.00000,0.999993,4445569,145635.56
12267.00000,0.999994,4445571,154202.35
12272.00000,0.999994,4445572,163840.00
12291.00000,0.999994,4445574,174762.67
12406.00000,0.999995,4445576,187245.71
12427.00000,0.999995,4445577,201649.23
12515.00000,0.999995,4445579,218453.33
12635.00000,0.999996,4445581,238312.73
14470.00000,0.999996,4445583,262144.00
14470.00000,0.999996,4445583,275941.05
14488.00000,0.999997,4445584,291271.11
14697.00000,0.999997,4445585,308404.71
14729.00000,0.999997,4445586,327680.00
14761.00000,0.999997,4445587,349525.33
15054.00000,0.999997,4445588,374491.43
15054.00000,0.999998,4445588,403298.46
15668.00000,0.999998,4445589,436906.67
16670.00000,0.999998,4445590,476625.45
17853.00000,0.999998,4445591,524288.00
17853.00000,0.999998,4445591,551882.11
19265.00000,0.999998,4445592,582542.22
19265.00000,0.999998,4445592,616809.41
19322.00000,0.999998,4445593,655360.00
19322.00000,0.999999,4445593,699050.67
21700.00000,0.999999,4445594,748982.86
21700.00000,0.999999,4445594,806596.92
21700.00000,0.999999,4445594,873813.33
21809.00000,0.999999,4445595,953250.91
21809.00000,0.999999,4445595,1048576.00
21809.00000,0.999999,4445595,1103764.21
25570.00000,0.999999,4445596,1165084.44
25570.00000,0.999999,4445596,1233618.82
25570.00000,0.999999,4445596,1310720.00
25570.00000,0.999999,4445596,1398101.33
27503.00000,0.999999,4445597,1497965.71
27503.00000,0.999999,4445597,1613193.85
27503.00000,0.999999,4445597,1747626.67
27503.00000,0.999999,4445597,1906501.82
27503.00000,1.000000,4445597,2097152.00
27503.00000,1.000000,4445597,2207528.42
27518.00000,1.000000,4445598,2330168.89
27518.00000,1.000000,4445598,inf
