Value,Percentile,TotalCount,1/(1-Percentile)
19191.00000,0.999992,4445979,119156.36
19617.00000,0.999992,4445983,131072.00
20341.00000,0.999993,4445984,137970.53
22026.00000,0.999993,4445986,145635.56
22212.00000,0.999994,4445988,154202.35
22385.00000,0.999994,4445989,163840.00
22625.00000,0.999994,4445991,174762.67
24285.00000,0.999995,4445993,187245.71
24520.00000,0.999995,4445994,201649.23
26675.00000,0.999995,4445996,218453.33
28124.00000,0.999996,4445998,238312.73
28422.00000,0.999996,4446000,262144.00
28422.00000,0.999996,4446000,275941.05
29078.00000,0.999997,4446001,291271.11
30276.00000,0.999997,4446002,308404.71
30483.00000,0.999997,4446003,327680.00
32107.00000,0.999997,4446004,349525.33
36960.00000,0.999997,4446005,374491.43
36960.00000,0.999998,4446005,403298.46
38807.00000,0.999998,4446006,436906.67
38921.00000,0.999998,4446007,476625.45
42155.00000,0.999998,4446008,524288.00
42155.00000,0.999998,4446008,551882.11
43728.00000,0.999998,4446009,582542.22
43728.00000,0.999998,4446009,616809.41
45772.00000,0.999998,4446010,655360.00
45772.00000,0.999999,4446010,699050.67
50125.00000,0.999999,4446011,748982.86
50125.00000,0.999999,4446011,806596.92
50125.00000,0.999999,4446011,873813.33
51793.00000,0.999999,4446012,953250.91
51793.00000,0.999999,4446012,1048576.00
51793.00000,0.999999,4446012,1103764.21
54854.00000,0.999999,4446013,1165084.44
54854.00000,0.999999,4446013,1233618.82
54854.00000,0.999999,4446013,1310720.00
54854.00000,0.999999,4446013,1398101.33
81244.00000,0.999999,4446014,1497965.71
81244.00000,0.999999,4446014,1613193.85
81244.00000,0.999999,4446014,1747626.67
81244.00000,0.999999,4446014,1906501.82
81244.00000,1.000000,4446014,2097152.00
81244.00000,1.000000,4446014,2207528.42
82864.00000,1.000000,4446015,2330168.89
82864.00000,1.000000,4446015,inf
