time	rss	kernel
0	638976	208896
100726506	27963392	499712
200727973	27963392	499712
300729819	28094464	499712
400739442	28094464	499712
500734137	28094464	499712
600729365	28094464	499712
700733180	28225536	499712
800734023	28225536	499712
900732428	28225536	499712
1000736508	28225536	499712
1100731954	28225536	499712
1200728731	28225536	499712
1300730325	28225536	499712
1400735618	28160000	507904
1500718089	28291072	507904
1600732422	28291072	507904
1700734826	28291072	507904
1800732387	28291072	507904
1900732775	28291072	507904
2000728738	28291072	507904
2100729711	28291072	507904
2200732894	28291072	507904
2300726944	28291072	507904
2400740738	28291072	507904
2500738249	28291072	507904
2600732006	28291072	507904
2700740393	28291072	507904
2800740658	28291072	507904
2900737493	28291072	507904
3000737142	28250112	507904
3100737461	28250112	507904
3200736385	28381184	507904
3300735624	28282880	512000
3400735769	28413952	512000
3500737368	28413952	512000
3600729223	28413952	512000
3700732999	28282880	516096
3800731641	28282880	516096
3900724648	28282880	516096
4000729604	28282880	516096
4100727657	28282880	516096
4200729814	28282880	516096
4300721382	28282880	516096
4400721122	28282880	516096
4500722846	28282880	516096
4600723198	28282880	516096
4700885386	28282880	516096
4800717932	28282880	516096
4900719358	28282880	516096
5000724190	28282880	516096
5100723424	28282880	516096
5200728432	28282880	516096
5300728780	28282880	516096
5400722052	28282880	516096
5500728804	28282880	516096
5600729067	28282880	516096
5700724148	28282880	516096
5800722993	28282880	516096
5900727433	28282880	516096
6000728047	28282880	516096
6100737822	28282880	516096
6200739106	28282880	516096
6300732416	28282880	516096
6400726558	28282880	516096
6503684511	28282880	516096
6600720313	28282880	516096
6700725207	28282880	516096
6800730221	28413952	516096
6900732145	28364800	520192
7000731986	28364800	520192
7100730106	28364800	520192
7200723925	28364800	520192
7300724380	28364800	520192
7400723935	28364800	520192
7500727406	28364800	520192
7600718378	28364800	520192
7700729109	28364800	520192
7800724010	28364800	520192
7900724391	28364800	520192
8000731976	28364800	520192
8100734493	28364800	520192
8200736782	28364800	520192
8300730530	28364800	520192
8400736542	28364800	520192
8500733267	28364800	520192
8600729979	28364800	520192
8700729795	28364800	520192
8800727322	28364800	520192
8900719108	28364800	520192
9000723784	28364800	520192
9100724429	28364800	520192
9200723651	28364800	520192
9300723823	28364800	520192
9400722694	28364800	520192
9500724407	28364800	520192
9600722210	28364800	520192
9700722513	28364800	520192
9800723647	28364800	520192
9900721194	28364800	520192
10000723855	28364800	520192
10100723795	28364800	520192
10200724844	28364800	520192
10300721894	28364800	520192
10400723798	28364800	520192
10500724659	28364800	520192
10600724883	28495872	520192
10700734010	28495872	520192
10800732179	28495872	520192
10900729817	28495872	520192
11000731626	28495872	520192
11100725214	28495872	520192
11200723600	28495872	520192
11300736239	28495872	520192
11400730471	28495872	520192
11500740930	28495872	520192
11600733575	28495872	520192
11700736791	28495872	520192
11800740537	28495872	520192
11900742202	28495872	520192
12000739831	28495872	520192
12100734619	28495872	520192
12200728462	28495872	520192
12300731088	28495872	520192
12400728405	28495872	520192
12500734799	28495872	520192
12600736407	28495872	520192
12700737446	28495872	520192
12800731904	28495872	520192
12900740765	28495872	520192
13000737941	28495872	520192
13100726890	28495872	520192
13200722567	28495872	520192
13300726339	28495872	520192
13400730810	28495872	520192
13500738370	28495872	520192
13600734634	28495872	520192
13700729248	28495872	520192
13800732108	28495872	520192
13900729733	28495872	520192
14000741643	28495872	520192
14100740947	28495872	520192
14200736064	28495872	520192
14300725888	28495872	520192
14400727970	28495872	520192
14500733605	28495872	520192
14600738940	28495872	520192
14700736306	28495872	520192
14800733819	28495872	520192
14900726551	28495872	520192
15000729272	28495872	520192
15100733633	28495872	520192
15200737821	28495872	520192
15300728435	28495872	520192
15400727207	28495872	520192
15500735562	28495872	520192
15600730169	28495872	520192
15700737612	28495872	520192
15800734822	28495872	520192
15900729961	28495872	520192
16000728337	28495872	520192
16100731283	28495872	520192
16200762251	28495872	520192
16300749980	28495872	520192
16400727840	28495872	520192
16500725746	28495872	520192
16600724864	28495872	520192
16700730820	28495872	520192
16800733026	28495872	520192
