time	rss	kernel
0	823296	151552
102412432	50098176	761856
202699027	146370560	950272
304357722	172298240	1019904
404112482	172298240	1019904
504159968	200204288	1060864
604080422	236761088	1130496
702924038	236761088	1130496
804811582	267005952	1187840
904673754	267005952	1187840
1004257457	267018240	1187840
1104083553	283344896	1220608
1203300562	283344896	1220608
1303742948	291655680	1236992
1403371102	291655680	1236992
1503410880	295735296	1245184
1604086358	295735296	1245184
1704427823	297779200	1249280
1804047990	297779200	1249280
1904471300	298827776	1249280
2002963035	298827776	1249280
2104546032	299352064	1249280
2203180739	299352064	1249280
2304491606	299614208	1249280
2402711607	299614208	1249280
2503795647	299614208	1249280
2602702202	299614208	1249280
2703758619	299614208	1249280
