valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,561.868118,17.388422,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,562.616014,17.365307,1,S,,,,,,"ref iteration #2"
400.perlbench,9770,563.307671,17.343985,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,406.685501,23.728409,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,404.407607,23.862064,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,404.47115,23.858315,1,S,,,,,,"ref iteration #3"
403.gcc,8050,445.453025,18.07149,0,S,,,,,,"ref iteration #1"
403.gcc,8050,444.679099,18.102942,0,S,,,,,,"ref iteration #2"
403.gcc,8050,444.846991,18.09611,1,S,,,,,,"ref iteration #3"
429.mcf,9120,298.697231,30.53259,0,S,,,,,,"ref iteration #1"
429.mcf,9120,288.153572,31.64979,0,S,,,,,,"ref iteration #2"
429.mcf,9120,296.123959,30.797913,1,S,,,,,,"ref iteration #3"
445.gobmk,10490,420.785163,24.929586,1,S,,,,,,"ref iteration #1"
445.gobmk,10490,420.594285,24.9409,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,421.477275,24.888649,0,S,,,,,,"ref iteration #3"
456.hmmer,9330,380.890593,24.495223,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,380.581027,24.515147,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,380.696477,24.507713,1,S,,,,,,"ref iteration #3"
458.sjeng,12100,449.563474,26.914998,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,450.393164,26.865417,1,S,,,,,,"ref iteration #2"
458.sjeng,12100,450.467854,26.860962,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,295.849824,70.035533,1,S,,,,,,"ref iteration #1"
462.libquantum,20720,296.975586,69.770045,0,S,,,,,,"ref iteration #2"
462.libquantum,20720,295.039283,70.227936,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,459.81484,48.128068,0,S,,,,,,"ref iteration #1"
464.h264ref,22130,458.286707,48.288549,0,S,,,,,,"ref iteration #2"
464.h264ref,22130,459.66067,48.14421,1,S,,,,,,"ref iteration #3"
471.omnetpp,6250,431.984688,14.468105,0,S,,,,,,"ref iteration #1"
471.omnetpp,6250,432.210804,14.460536,1,S,,,,,,"ref iteration #2"
471.omnetpp,6250,433.909623,14.403921,0,S,,,,,,"ref iteration #3"
473.astar,7020,367.918388,19.080318,0,S,,,,,,"ref iteration #1"
473.astar,7020,367.505241,19.101768,1,S,,,,,,"ref iteration #2"
473.astar,7020,363.007017,19.338469,0,S,,,,,,"ref iteration #3"
483.xalancbmk,6900,402.898073,17.12592,0,S,,,,,,"ref iteration #1"
