benchmark	allocator	runtime	runtime_relative	runtime_median	mem_max_rel	mem_median_rel	mem_mean_rel	mem_stddev_rel	mem_max_mb	mem_median_mb	mem_mean_mb	mem_stddev_mb
400.perlbench	glibc	271.8677	1.0		1.0	1.0	1.0	1.0	663.5	213.826171875	307.4339504851598	200.111778295789
400.perlbench	jemalloc	264.77361	0.9739060947659468		0.92644357573474	0.9303154029539912	0.8074352148965313	0.6921137155268732	614.6953125	198.92578125	248.23299787647457	138.50010639698843
400.perlbench	hoard	262.625169	0.9660035708545003		1.1036348436322532	1.1792763909060184	1.1109783636741872	1.0150115224785368	732.26171875	252.16015625	341.55246724789396	203.1157607538962
400.perlbench	mesh0n	272.181086	1.0011527150889936		0.8621126130369254	1.0253107901972067	0.842590433117398	0.6227776210797716	572.01171875	219.23828125	259.0409054942835	124.62513723709417
400.perlbench	mesh2y	282.409954	1.0387771478553725		0.8511091748304446	0.9720951049973054	0.7957905216251598	0.6187591867525996	564.7109375	207.859375	244.65302382186889	123.82100119791892
401.bzip2	glibc	395.364136	1.0		1.0	1.0	1.0	1.0	851.6328125	846.265625	664.0371112913941	289.3128859199496
401.bzip2	jemalloc	397.934112	1.0065002759886144		0.997367189865057	1.0002769520503683	1.0006117181183778	0.9978004750469218	849.390625	846.5	664.4433148236463	288.6765350081216
401.bzip2	hoard	398.809184	1.00871360775121		1.0094992156610922	1.0008354720186112	1.0066565814362372	1.0011279435135312	859.72265625	846.97265625	668.457328399389	289.639214513004
401.bzip2	mesh0n	399.105181	1.0094622770741148		1.0105358273170104	1.0018324993999372	1.0080614702563813	1.0012907049678097	860.60546875	847.81640625	669.3902267132031	289.6863034990579
401.bzip2	mesh2y	398.683631	1.0083960448046305		1.0128659101542075	1.0040758110079209	1.008458432712018	1.006144696247853	862.58984375	849.71484375	669.6538245155352	291.09062572451745
403.gcc	glibc	244.842922	1.0		1.0	1.0	1.0	1.0	870.1171875	175.3203125	219.89204805540484	145.32055223778923
403.gcc	jemalloc	245.800276	1.0039100742311842		0.994635241301908	0.9125038991132303	0.914827762896167	0.9832479418438023	865.44921875	159.98046875	201.16335040118244	142.886133895411
403.gcc	hoard	252.670405	1.0319694068999878		1.1106801346801347	1.1218974199010738	1.0960461247878341	1.0399589450738658	966.421875	196.69140625	241.0118271427867	151.1274082027629
403.gcc	mesh0n	251.25206	1.0261765296200802		0.9882514029180696	0.8919054409340047	0.9278947955151462	0.9733390876591905	859.89453125	156.369140625	204.03668696577657	141.4461737332595
403.gcc	mesh2y	256.883245	1.0491757037599805		0.9803052749719416	0.871741455371864	0.9010710171341785	0.9636728051074478	852.98046875	152.833984375	198.1383514010013	140.04146421475374
429.mcf	glibc	275.630309	1.0		1.0	1.0	1.0	1.0	1680.421875	1680.171875	1621.7457980130964	294.0386193037975
429.mcf	jemalloc	282.771479	1.025908507761387		1.0001348247742847	1.000106945903972	1.000926843369719	0.9881697061194193	1680.6484375	1680.3515625	1623.2489023533544	290.5600560251934
429.mcf	hoard	302.512375	1.0975294266350077		1.0002580267232002	1.0002464405613265	1.0209136395559741	0.6400243020536559	1680.85546875	1680.5859375	1655.662405084158	188.19186209673362
429.mcf	mesh0n	282.981063	1.026668888580029		1.0013110547016653	1.0012508020942799	1.0209862654208888	0.6595519961249667	1682.625	1682.2734375	1655.7801857754105	193.9337582996488
429.mcf	mesh2y	283.778269	1.0295611902390605		1.0035170669567723	1.0035175902762925	1.0230520303196269	0.6646417785498582	1686.33203125	1686.08203125	1659.1303313196217	195.4303508964206
445.gobmk	glibc	419.395272	1.0		1.0	1.0	1.0	1.0	26.74609375	26.3984375	26.365382594860712	1.2299144622335563
445.gobmk	jemalloc	415.861913	0.9915751100789711		1.0140207390097853	1.0112459307487422	1.0116284127751323	1.0357061839611692	27.12109375	26.6953125	26.671970146648043	1.2738300142785701
445.gobmk	hoard	423.171714	1.009004493498439		1.1095370235139477	1.0196803788102988	1.0210320414800116	1.0236983456819257	29.67578125	26.91796875	26.9199004152322	1.2590614003187668
445.gobmk	mesh0n	418.631259	0.9981782984906897		1.2062217029355922	1.1860017756732761	1.1644940207273475	1.689410174687423	32.26171875	31.30859375	30.702330385904176	2.0778300064925803
445.gobmk	mesh2y	418.120632	0.996960766882465		1.0733167810720023	1.027818881325836	1.0269745915685917	1.041461757752477	28.70703125	27.1328125	27.076578021906737	1.280908877722952
456.hmmer	glibc	379.550487	1.0		1.0	1.0	1.0	1.0	25.45703125	3.9296875	10.032187658925242	9.482169107165536
456.hmmer	jemalloc	379.571686	1.000055852912132		1.0121221420899187	1.0685884691848906	1.024925010991269	0.995350800828165	25.765625	4.19921875	10.282240046590427	9.438084614405302
456.hmmer	hoard	383.248168	1.0097422638796405		3.842258707994476	2.9731610337972167	3.636391669652583	4.058641478159785	97.8125	11.68359375	36.4809636313072	38.48472484126738
456.hmmer	mesh0n	387.646561	1.0213306905860986		2.470768758631272	2.849900596421471	2.105544703889622	1.6333266359281418	62.8984375	11.19921875	21.123219593676865	15.487479369108437
456.hmmer	mesh2y	380.217065	1.0017562301270344		3.075648304434556	2.9383697813121272	1.595744407100061	0.7985660059346649	78.296875	11.546875	16.00880734770821	7.572137911506249
458.sjeng	glibc	450.216597	1.0		1.0	1.0	1.0	1.0	176.05078125	175.79296875	175.73232225197245	3.2606409984724056
458.sjeng	jemalloc	445.591317	0.9897265448879043		1.0005325168075618	1.0009554918560986	1.0010240671689723	1.0054606373355943	176.14453125	175.9609375	175.91228395371795	3.2784461764466335
