benchmark	allocator	runtime	runtime_relative	runtime_median	mem_max_rel	mem_median_rel	mem_mean_rel	mem_stddev_rel	mem_max_mb	mem_median_mb	mem_mean_mb	mem_stddev_mb
458.sjeng	hoard	452.665993	1.0054404835723993		1.0021078790299318	1.002799813345777	1.0027408504201079	0.9995266128855481	176.421875	176.28515625	176.21397826124328	3.2590974530388754
458.sjeng	mesh0n	449.430702	0.9982544068671907		1.0033282300472608	1.003866408906073	1.0037119391170597	1.0036142650812871	176.63671875	176.47265625	176.38462993307127	3.2724258193757976
458.sjeng	mesh2y	446.508321	0.9917633511853852		1.0056579910803434	1.0059107170633068	1.0060378107842904	1.0089366583646282	177.046875	176.83203125	176.7933607624138	3.2897802331254535
462.libquantum	glibc	293.395691	1.0		1.0	1.0	1.0	1.0	96.58984375	65.01171875	64.99547760269122	3.593154026485884
462.libquantum	jemalloc	291.213342	0.9925617551077123		1.0078052331459537	1.00288409541549	1.0009822471956764	1.0324304551328611	97.34375	65.19921875	65.05931922829812	3.7096816469272933
462.libquantum	hoard	293.654704	1.0008828111930246		1.3549965624620859	1.501712431652947	1.4991853192436875	1.7542030583245005	130.87890625	97.62890625	97.44026583918658	6.303121782292531
462.libquantum	mesh0n	296.057484	1.009072365687879		1.3439964411372185	1.501291834404855	1.4928660949084318	1.6674059970467077	129.81640625	97.6015625	97.02954483543809	5.991246572075087
462.libquantum	mesh2y	294.136832	1.0025260800438955		1.3475553039187933	1.5053175509223098	1.4964984861599384	1.6672028329961455	130.16015625	97.86328125	97.2656338396696	5.990516572348772
464.h264ref	glibc	462.229911	1.0		1.0	1.0	1.0	1.0	64.05078125	63.8203125	53.12264244206038	17.687743384577157
464.h264ref	jemalloc	453.459078	0.9810249557822318		0.9602976154174544	0.9602766556494063	0.9359783016549929	1.0497000076367444	61.5078125	61.28515625	49.721640652345116	18.56682436586742
464.h264ref	hoard	473.457548	1.0242901567657312		1.029517594681954	1.0205655526992288	1.0115853555800634	1.0938609356749354	65.94140625	65.1328125	53.73808714410422	19.34793152863172
464.h264ref	mesh0n	450.14302	0.9738509111756725		1.0559248643044459	1.0279103929489533	1.0222537828005742	1.0727296788136715	67.6328125	65.6015625	54.304822188758564	18.9741672798761
464.h264ref	mesh2y	450.416124	0.9744417513474155		0.9967067146429225	0.9890439466274942	0.9695036685845708	1.0777691422993037	63.83984375	63.12109375	51.502596732483966	19.063304016805905
471.omnetpp	glibc	329.941449	1.0		1.0	1.0	1.0	1.0	169.71875	167.40625	161.4835264656781	27.591130497140053
471.omnetpp	jemalloc	280.228099	0.849326751304896		0.9425290001841281	0.9420384543587829	0.9379453052668186	0.9793554128082381	159.96484375	157.703125	151.46271552641284	27.021522997872566
471.omnetpp	hoard	300.358743	0.9103395281506448		1.2008838151353343	1.2038687698338622	1.2007263754399355	1.2450598368236634	203.8125	201.53515625	193.89752942639257	34.352608434549595
471.omnetpp	mesh0n	323.898702	0.9816853959442969		1.0445129810348002	1.0437278327422064	1.040551791036748	1.071531032670334	177.2734375	174.7265625	168.03197268679145	29.56475255414243
471.omnetpp	mesh2y	345.905136	1.0483833936244853		1.0476891916774074	1.0475312675004667	1.0425486023326112	1.0991459076333434	177.8125	175.36328125	168.35442481653394	30.326678172909023
473.astar	glibc	359.313753	1.0		1.0	1.0	1.0	1.0	326.27734375	132.62109375	136.4050066106809	112.90560264948793
473.astar	jemalloc	342.270466	0.952567117574261		0.9551522262262502	0.21775499985272892	0.2887700281723063	0.3494721695714788	311.64453125	28.87890625	39.38967760180996	39.457365914691856
473.astar	hoard	347.387921	0.9668094196216308		1.0798663905084585	1.002562516567995	1.1884584250745172	1.2013398596518763	352.3359375	132.9609375	162.11167932880895	135.63800084084633
473.astar	mesh0n	346.819499	0.9652274540128721		0.9383552623702516	0.3125092044416954	0.46617351952215036	0.3619277622782646	306.1640625	41.4453125	63.588402012143305	40.863672115608075
473.astar	mesh2y	348.302342	0.9693543291675785		0.9405581428759563	0.258018909605019	0.35487802938204066	0.31472315109183363	306.8828125	34.21875	48.40713994384267	35.53400704176932
483.xalancbmk	glibc	201.453264	1.0		1.0	1.0	1.0	1.0	476.015625	309.77734375	328.4993692492169	123.51699805494827
483.xalancbmk	jemalloc	200.548098	0.9955068188917506		0.9999589693090432	1.0000882690440462	0.9964081080629447	1.003475144722101	475.99609375	309.8046875	327.31943501348286	123.94623749882871
483.xalancbmk	hoard	158.997313	0.7892516102394846		1.3515345478417857	1.3405924113841847	1.3115626917956646	1.2911125043694043	643.3515625	415.28515625	430.8475169856809	159.4743406909151
483.xalancbmk	mesh0n	162.153546	0.8049189314698818		1.3069998358772361	1.3750110336305057	1.230608144916113	1.0816244945321083	622.15234375	425.947265625	404.253999397892	133.59901058730682
483.xalancbmk	mesh2y	195.958838	0.9727260512393584		1.205924831774167	1.2980341222904557	1.1319602203618095	0.910803727163937	574.0390625	402.1015625	371.848218404059	112.49974219654764
geomean	glibc		1.0	1.0	1.0	1.0	1.0	1.0	452.21484375	452.21484375	452.21484375	452.21484375
geomean	jemalloc		0.9791990379847506	0.9897265448879043	0.9838297417070528	1.0010240671689723	0.8723236242890429	0.8934904720410805	445.47265625	445.47265625	445.47265625	445.47265625
geomean	hoard		0.9820975611475009	1.0054404835723993	1.2377381800305662	1.0027408504201079	1.2400757222804712	1.215575309653966	494.9576822916667	494.9576822916667	494.9576822916667	494.9576822916667
geomean	mesh0n		0.9828086365883912	0.9982544068671907	1.1373745861796054	1.0037119391170597	1.050397401637594	0.9847697098062986	462.4977213541667	462.4977213541667	462.4977213541667	462.4977213541667
geomean	mesh2y		1.0066123170048955	0.9917633511853852	1.1333982736632722	1.0060378107842904	0.9753420099409581	0.8705359308101556	458.6165364583333	458.6165364583333	458.6165364583333	458.6165364583333
