Value,Percentile,TotalCount,1/(1-Percentile)
8671.000,0.999996,40023551,262144.00
8695.000,0.999996,40023557,275941.05
8807.000,0.999997,40023566,291271.11
8871.000,0.999997,40023574,308404.71
8903.000,0.999997,40023581,327680.00
8919.000,0.999997,40023588,349525.33
9223.000,0.999997,40023596,374491.43
9599.000,0.999998,40023603,403298.46
10031.000,0.999998,40023611,436906.67
10079.000,0.999998,40023620,476625.45
10103.000,0.999998,40023626,524288.00
10119.000,0.999998,40023630,551882.11
10135.000,0.999998,40023634,582542.22
10167.000,0.999998,40023638,616809.41
10199.000,0.999998,40023641,655360.00
10295.000,0.999999,40023645,699050.67
10359.000,0.999999,40023649,748982.86
10423.000,0.999999,40023653,806596.92
10575.000,0.999999,40023657,873813.33
10623.000,0.999999,40023661,953250.91
10711.000,0.999999,40023664,1048576.00
10759.000,0.999999,40023666,1103764.21
10807.000,0.999999,40023668,1165084.44
10863.000,0.999999,40023670,1233618.82
10975.000,0.999999,40023672,1310720.00
10983.000,0.999999,40023674,1398101.33
11455.000,0.999999,40023676,1497965.71
11959.000,0.999999,40023678,1613193.85
12191.000,0.999999,40023680,1747626.67
13127.000,0.999999,40023682,1906501.82
14415.000,1.000000,40023683,2097152.00
14759.000,1.000000,40023684,2207528.42
14823.000,1.000000,40023685,2330168.89
15063.000,1.000000,40023686,2467237.65
15831.000,1.000000,40023687,2621440.00
20623.000,1.000000,40023688,2796202.67
24591.000,1.000000,40023689,2995931.43
30255.000,1.000000,40023690,3226387.69
35871.000,1.000000,40023691,3495253.33
74367.000,1.000000,40023692,3813003.64
77247.000,1.000000,40023693,4194304.00
77247.000,1.000000,40023693,4415056.84
80831.000,1.000000,40023694,4660337.78
80831.000,1.000000,40023694,4934475.29
87615.000,1.000000,40023695,5242880.00
87615.000,1.000000,40023695,5592405.33
99199.000,1.000000,40023696,5991862.86
99199.000,1.000000,40023696,6452775.39
103359.000,1.000000,40023697,6990506.67
103359.000,1.000000,40023697,7626007.28
113279.000,1.000000,40023698,8388608.00
113279.000,1.000000,40023698,8830113.68
113279.000,1.000000,40023698,9320675.55
113279.000,1.000000,40023698,9868950.59
1248255.000,1.000000,40023699,10485760.00
1248255.000,1.000000,40023699,11184810.67
1248255.000,1.000000,40023699,11983725.71
1248255.000,1.000000,40023699,12905550.76
1409023.000,1.000000,40023700,13981013.34
1409023.000,1.000000,40023700,15252014.55
1409023.000,1.000000,40023700,16777216.00
1409023.000,1.000000,40023700,17660227.38
1409023.000,1.000000,40023700,18641351.10
1409023.000,1.000000,40023700,19737901.19
1417215.000,1.000000,40023701,20971519.98
1417215.000,1.000000,40023701,22369621.33
1417215.000,1.000000,40023701,23967451.45
1417215.000,1.000000,40023701,25811101.52
1417215.000,1.000000,40023701,27962026.68
1417215.000,1.000000,40023701,30504029.05
1417215.000,1.000000,40023701,33554432.00
1417215.000,1.000000,40023701,35320454.76
1417215.000,1.000000,40023701,37282702.28
1417215.000,1.000000,40023701,39475802.28
2131967.000,1.000000,40023702,41943039.96
2131967.000,1.000000,40023702,inf

