Value,Percentile,TotalCount,1/(1-Percentile)
10295.000,0.999996,40023552,262144.00
10311.000,0.999996,40023557,275941.05
10335.000,0.999997,40023567,291271.11
10351.000,0.999997,40023574,308404.71
10375.000,0.999997,40023581,327680.00
10423.000,0.999997,40023588,349525.33
10535.000,0.999997,40023597,374491.43
10727.000,0.999998,40023605,403298.46
10871.000,0.999998,40023611,436906.67
11007.000,0.999998,40023619,476625.45
11151.000,0.999998,40023626,524288.00
11543.000,0.999998,40023630,551882.11
11687.000,0.999998,40023634,582542.22
12255.000,0.999998,40023638,616809.41
12391.000,0.999998,40023641,655360.00
13407.000,0.999999,40023645,699050.67
13647.000,0.999999,40023649,748982.86
14015.000,0.999999,40023653,806596.92
15055.000,0.999999,40023657,873813.33
16351.000,0.999999,40023661,953250.91
16895.000,0.999999,40023664,1048576.00
17103.000,0.999999,40023666,1103764.21
17247.000,0.999999,40023669,1165084.44
17391.000,0.999999,40023670,1233618.82
18047.000,0.999999,40023672,1310720.00
18271.000,0.999999,40023674,1398101.33
19807.000,0.999999,40023676,1497965.71
21055.000,0.999999,40023678,1613193.85
21199.000,0.999999,40023680,1747626.67
21471.000,0.999999,40023682,1906501.82
21903.000,1.000000,40023683,2097152.00
22191.000,1.000000,40023684,2207528.42
24943.000,1.000000,40023685,2330168.89
26239.000,1.000000,40023686,2467237.65
26319.000,1.000000,40023687,2621440.00
26431.000,1.000000,40023688,2796202.67
26879.000,1.000000,40023689,2995931.43
29855.000,1.000000,40023690,3226387.69
30943.000,1.000000,40023691,3495253.33
31183.000,1.000000,40023692,3813003.64
32831.000,1.000000,40023693,4194304.00
32831.000,1.000000,40023693,4415056.84
47711.000,1.000000,40023694,4660337.78
47711.000,1.000000,40023694,4934475.29
72511.000,1.000000,40023695,5242880.00
72511.000,1.000000,40023695,5592405.33
75327.000,1.000000,40023696,5991862.86
75327.000,1.000000,40023696,6452775.39
76095.000,1.000000,40023697,6990506.67
76095.000,1.000000,40023697,7626007.28
80959.000,1.000000,40023698,8388608.00
80959.000,1.000000,40023698,8830113.68
80959.000,1.000000,40023698,9320675.55
80959.000,1.000000,40023698,9868950.59
82047.000,1.000000,40023699,10485760.00
82047.000,1.000000,40023699,11184810.67
82047.000,1.000000,40023699,11983725.71
82047.000,1.000000,40023699,12905550.76
105663.000,1.000000,40023700,13981013.34
105663.000,1.000000,40023700,15252014.55
105663.000,1.000000,40023700,16777216.00
105663.000,1.000000,40023700,17660227.38
105663.000,1.000000,40023700,18641351.10
105663.000,1.000000,40023700,19737901.19
1245183.000,1.000000,40023701,20971519.98
1245183.000,1.000000,40023701,22369621.33
1245183.000,1.000000,40023701,23967451.45
1245183.000,1.000000,40023701,25811101.52
1245183.000,1.000000,40023701,27962026.68
1245183.000,1.000000,40023701,30504029.05
1245183.000,1.000000,40023701,33554432.00
1245183.000,1.000000,40023701,35320454.76
1245183.000,1.000000,40023701,37282702.28
1245183.000,1.000000,40023701,39475802.28
1248255.000,1.000000,40023702,41943039.96
1248255.000,1.000000,40023702,inf

